invoice|jobno|job|description|others
35866232|576556|電鍍技術員(光電上市公司)|1.連續電鍍線顧線生產, 工作內容包括機台操作及藥液添加.品質控管等 2.二班制日夜輪班,休假日期為排休制 3.歡迎具相關經驗或相關科系畢業,有意願接受培訓為班/課長者 ***本公司各產線均為自動化機台，設備及環境均優且安全無虞，並有穩定之加班費，不需擔心有產能不足之無薪休假，輪班人員另有每日250元之夜班津貼，員工享有年終獎金及多樣化之職工福利（例：旅遊補助、生日禮金、三節禮金、婚喪補助等）|本職缺長期招募,歡迎隨時投遞履歷應徵
3434016|705726|承攬業務人員|"歡迎主動積極、願意學習，想要開創屬於自己事業的菁英夥伴加入我們的行列。 
      ◎全方位需求導向銷售與服務： 
         提供客戶專業且量身訂做的風險規劃管理，能夠全方位照顧到人生各階段的所有財務需求，針對企業或個人可能面臨的風險， 設計、解說及銷售各種不同類型的保險（如：壽險、儲蓄險、醫療險、意外險、投資型保險等）。 
      ◎個人的成長學習： 
         各職級完整教育訓練課程，培養個人行銷技能、組織發展、經營團隊與領導統馭之能力。 
      ◎挑戰收入無上限： 
         願意發展個人潛能，激發旺盛企圖心，為自己打造源源不絕的收入。 
      ◎創造事業價值與工作成就感： 
         用愛與關懷幫助他人、成就自己，透過保單的承諾與服務成就事業使命。"|具有強烈的企圖心,願向高薪挑戰者,歡迎洽詢
34516147|1195525|研發助理工程師|"1.LED樣品製作、產品測試
2.協助工程師彙整文件、整理相關資料，並管理相關文件與檔案
3.測試報告撰寫"|具LED封裝基礎原理知識
86521079|1281163|理財專員(博愛)|"(1)取得市場與經濟環境變化資訊，分析客戶需求，選擇適合客戶風險屬性之產品銷售，以達成業績目標。
(2)建立並維持與客戶之良好關係，以提高客戶滿意度及忠誠度。
(3)瞭解客戶需求，以提供一對一專業理財規劃服務。
(4)開發新客戶並提高客戶與本行往來之新資金。"|"(1)大專或大學以上畢。
(2)具備1年以上金融業相關業務經驗者尤佳。
(3)本職務需具備金融相關證照後，始得執行業務。(相關證照如：信託業業務人員信託業務專業測驗(信託法規乙科)、投信投顧業務員、結構型證照、投資型證照、金融市場與職業道德)
(4)積極主動、細心、樂觀、具抗壓性。"
20817282|1325317|電機工程師(台北)|"◎此為培植工程人才長期招募職缺，本公司具備完善培育機制，歡迎有能力且有意願者，挑戰國際經驗工作。◎

電力系統規劃設計照明、接地、通訊及弱電系統設計電機系(所)畢,主修電力或通訊;對電機工程設計有興趣者,有無經驗均可"|TOEIC 500分以上;電機系(所)畢,主修電力或通訊;對電機工程設計有興趣者,有無經驗均可;請附上最高學歷及次高學歷成績單。於中鼎人才招募網www.ctci.com.tw/career登錄履歷者優先處理。
12261768|1426878|系統保全員--中山(駐)|巡邏保全客戶、事故狀況處理、檢修保全系統。|"1.高中職以上畢業，專科以上尤佳(電子、電機、汽修科系畢業者優先)
2.本職務需能輪值夜班。
3.須具備汽、機車駕照，駕駛技術熟練。"
89593343|1449238|資深系統驗證工程師|"1. 系統整合測試
2. Linux/Android測試
3. BMC測試
4. 研習專案相關規格書 
5. 擬定與執行專案測試計劃
6. 撰寫測試結果分析與測試報告 
7. 開立Bug, 複製問題, 協助分析問題, 與專案團隊其他成員合作解決問題
8. 測試管理技能及新技術研究"|"1. 具備基礎電腦硬體組裝能力
2. 對韌體 BMC, Linux測試有興趣與熱忱 
3. 熟悉伺服器架構 (x86 或 ARM)架構為佳 
4. 熟悉Linux/Windows/Android作業系統為佳 
5. 熟悉Linux/Windows/DOS scripts為佳 
6. 具有shell, perl, python等任一腳本開發經驗者為佳"
23357403|1572276|DCS-資深研發工程師 (內湖)|"1)熟悉鈑金沖壓/塑膠射出/壓鑄件製程，且具四年以上相關產品Server /PC /DCS ODM設計經驗
2)熟悉各種材料,表面處理咬花規範,粉烤漆/液烤漆/電鍍等特性， 
3)能純熟運用設計軟體Pro-E Wildfire3.0以上機械製圖(2D/3D)熟練
4)熟悉RFQ/RFP/BOM對應處理能力
5)願意配合加班/與出差
6)了解EMI/ESD測試標準及防制對策
7)了解L10系統結構靜態及動態測試與分析, 並有獨力debugs能力
8)了解熱傳模式及風扇選用規範
9)了解ANSI-EIA-310D, IEC 60297或DIN 41494 SC48D機櫃設計規範
10) 了解EMN/EMP操作與Electronics Engineer溝通經驗
11)PLM平台經驗"|- 熟悉ProE- 3年以上電腦機殼設計經驗(Desktop , AIO, 伺服器等內部機構研發設計經驗)- 具英文溝通能力尤佳
11085292|3437569|國外業務專員(龍潭)|"1.客戶與公司內部間之溝通協調串聯。
2.銷售預測與計畫擬定，市場競爭者動態掌握及市況分析。
3.確保每月業績達成及貨款回收、庫存管控。
4.合約交易談判、訂單接洽、出貨協調。
5.需配合國/內外出差。"|"1.積極富責任感、有工作熱忱者，抗壓性高能獨立作業。
2.邏輯清晰整合能力強、溝通協調能力佳，高EQ容易與人相處。
3.英文聽、說、讀、寫流利(TOEIC需達700分以上)。
4.具備汽車駕照。
5.配合國內外出差"
12228473|3557359|資深網管工程師(5302)|"1.各項資訊專案評估、規劃與執行
2.網路與資訊系統效能優化
3.資訊安全系統架構規劃與建置"|"1.具資訊系統規劃、網路與資安系統管理實務經驗三年以上
2.具系統整合經驗為佳"
4268726|4146462|【全職】三燔本家 日式餐廳 廚房 副主廚／領班(台北晶華酒店)|"1.準備食材並烹調菜餚
2.掌控菜餚的擺盤語出菜順序
3.確保所負責類別的食品均符合衛生管理的規定。
4.與同事或經營者共同討論菜色與菜單"|"1. 具備高度自我衛生管理標準，隨時維持工作區域環境清潔
2. 具備高度食物調理衛生安全管理、備品收納管理
3. 重視料理視覺美感
4. 自備專業日本料理刀具
5. 熟悉日本、本地海鮮食材
6. 具備相關認證(職業技術士證)
7. 主動積極、注重團隊合作"
89004161|4238238|組織績效管理師 - 成品事業中心(FP)|"1.經營績效分析
2.成本結構分析及報價分析
3.經營績效會議之安排及決議追蹤執行
4.經營風險控管
5.海外子公司之經營績效控制"|"1.財會相關經驗3年以上
2.英文聽說讀寫佳
3.積極、主動、有責任感、能獨立思考、具良好溝通協調能力"
52375605|4409040|M4120*機構設計(新店)|"1. 建立機構BOM及料號
2. 做認可書及零件確認
3. 機構設計
4. 模型發包及驗證
5. 配合專案需求出差大陸
6. 了解機構類相關品質測試方法與規範
7. 機構相關資料收集
8. 新產品技術管理及Jr. engineers技術訓練"|"1. 機構設計相關科系畢
2. 3年以上3C相關產品設計經驗
3. 熟悉消費性產品結構設計、射出成型
4. 熟悉塑膠、五金、橡膠件設計，以及模具材質、結構
5. 熟Pro/E wildfire
6. 開朗、負責任
7.需能配合大陸短期出差"
97092770|4510399|軟體工程師(韌體/通訊開發 一)|"1. 撰寫Linux device driver。
2. 開發網路相關通訊協定。
3. 撰寫試量產所需測試程式。"|"1. 熟網路通訊協定。
2. 態度積極，抗壓性強，勇於接受挑戰。"
66394146|4580269|機電繪圖工程師|"建築-機電工程系統施工圖繪製：
